Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
Tuning the Spring Constant of Cantilever-Free Tip Arrays,"['Eichelsdoerfer, Daniel J.', 'Brown, Keith A.', 'Boya, Radha', 'Shim, Wooyoung', 'Mirkin, Chad A.']",NANO LETTERS,13,2,Feb-13,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Atomic force microscopy', 'scanning probe lithography', 'dip-pen nanolithography', 'spring constant', 'polydimethylsiloxane', 'hard-tip', 'soft-spring lithography']","['DIP-PEN NANOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPE', 'LITHOGRAPHY']","[['U.S. Air Force Office of Scientific Research (AFOSR)', 'FA9550-12-1-0280\xa0\nFA9550-12-1-0141'], ['Defense Advanced Research Projects Agency (DARPA)', 'N66001-08-1-2044'], ['National Science Foundation (NSF)', 'DBI-1152139'], ['Department of Defense and AFOSR for a National Defense Science and Engineering Graduate (NDSEG) Fellowship', '32 CFR 168a'], [""Northwestern University's International Institute for Nanotechnology"", ''], ['Indo-US Science & Technology Forum (IUSSTF) for a postdoctoral fellowship', '']]"
Noncovalent Microcontact Printing for Grafting Patterned Polymer Brushes on Graphene Films,"['Gao, Tingting', 'Wang, Xiaolong', 'Yu, Bo', 'Wei, Qiangbing', 'Xia, Yanqiu', 'Zhou, Feng']",LANGMUIR,29,4,JAN 29 2013,zhouf@licp.cas.cn,"Chinese Acad Sci, Lanzhou Inst Chem Phys, State Key Lab Solid Lubricat, Lanzhou 730000, Peoples R China.","['Chemistry', 'Materials Science']",[],"['TRANSFER RADICAL POLYMERIZATION', 'SENSING APPLICATIONS', 'FUNCTIONALIZATION', 'FABRICATION', 'ADSORPTION', 'NANOSHEETS', 'DEVICE', 'CELLS']","[['NSFC', '21125316'], ['CAS', '']]"
High-Throughput Printing via Microvascular Multinozzle Arrays,"['Hansen, Christopher J.', 'Saksena, Rajat', 'Kolesky, David B.', 'Vericella, John J.', 'Kranz, Stephen J.', 'Muldowney, Gregory P.', 'Christensen, Kenneth T.', 'Lewis, Jennifer A.']",ADVANCED MATERIALS,25,1,JAN 4 2013,jalewis@illinois.edu,"Univ Illinois, Dept Mat Sci & Engn, 1304 W Green St, Urbana, IL 61801 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['3D printing', 'multinozzle printheads', 'additive manufacturing']","['DIRECT-WRITE METHOD', 'HYDROGEL SCAFFOLDS', 'LITHOGRAPHY', 'ELECTRONICS', 'COMPOSITES', 'NETWORKS', 'INKS', 'LAW']","[['Dow Chemical Company', '2006-06842'], ['National Science Foundation', 'DMR-0652424'], ['National Science Foundation Graduate Student Fellowship', '']]"
Nanopatterning of Biomolecules by Dip-Pen Nanolithography,"['Zhou, Xiaozhu', 'Parayil, Sreenivasan Koliyat', 'Li, Hai', 'Zhang, Hua']",HANDBOOK OF BIOFUNCTIONAL SURFACES,UNDEFINED,UNDEFINED,2013,hzhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Biotechnology & Applied Microbiology', 'Materials Science']",[],"['PROTEIN IMMOBILIZATION', 'DNA-MOLECULES', 'CELL-ADHESION', 'TAT PEPTIDE', 'SURFACES', 'NANOSTRUCTURES', 'NANOARRAYS', 'OLIGONUCLEOTIDES', 'TEMPLATES', 'LITHOGRAPHY']",[]
Nanopatterning for Bioapplications,"['Domnanich, Patrick', 'Preininger, Claudia']",HANDBOOK OF BIOFUNCTIONAL SURFACES,UNDEFINED,UNDEFINED,2013,Claudia.preininger@ait.ac.at,"AIT Austrian Inst Technol, Hlth & Environm Dept Bioresources, Konrad Lorenz Str 24, A-3430 Tulln, Austria.","['Biotechnology & Applied Microbiology', 'Materials Science']",[],"['DIP-PEN NANOLITHOGRAPHY', 'SCANNING-TUNNELING-MICROSCOPE', 'ATOMIC-FORCE MICROSCOPY', 'SURFACE-PLASMON RESONANCE', 'SELF-ASSEMBLED MONOLAYERS', 'UV-NANOIMPRINT LITHOGRAPHY', 'BLOCK-COPOLYMER LITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'LABEL-FREE DETECTION', 'IN-SITU SYNTHESIS']",[]
Modern Printing Technologies in Micro- and Nanoelectronics,"['Sarapulova, Olha', 'Kyrychok, Tetiana', 'Sherstiuk, Valentyn', 'Orlov, Anatolii']",2013 IEEE XXXIII INTERNATIONAL SCIENTIFIC CONFERENCE ELECTRONICS AND NANOTECHNOLOGY (ELNANO),UNDEFINED,UNDEFINED,2013,olga-s@voliacable.com; atorlov@rambler.ru,"Natl Tech Univ Ukraine, Kyiv Polytech Inst, Inst Publishing & Printing, Kiev, Ukraine.","['Engineering', 'Science & Technology - Other Topics']","['printing', 'electronics', 'nanoelectronics', 'nanophotonics', 'photolithography', 'nanoprinting', 'security printing', 'active packaging', 'intelligent packaging', 'smart packaging']","['NANOIMPRINT LITHOGRAPHY', 'NANOSTRUCTURES', 'FABRICATION', 'SYSTEM']",[]
Spatially controlled surface immobilization of nucleophiles via trapping of photo-generated thioaldehydes,"['Pauloehrl, Thomas', 'Welle, Alexander', 'Oehlenschlaeger, Kim K.', 'Barner-Kowollik, Christopher']",CHEMICAL SCIENCE,4,9,2013,christopher.barner-kowollik@kit.edu,"KIT, Inst Tech Chem & Polymerchem, Engesserstr 18, D-76128 Karlsruhe, Germany.",['Chemistry'],[],"['PHOTOLABILE PROTECTING GROUPS', 'ION MASS-SPECTROMETRY', 'PHOTOCHEMICAL GENERATION', 'CLICK CHEMISTRY', 'LIGATION', 'THIOL', 'SIMS']","[['Karlsruhe Institute of Technology (KIT)', ''], ['German Research Council (DFG)', ''], ['Ministry of Science and Arts of the state of Baden-Wurttemberg', ''], ['Helmholtz association via its STN program', ''], ['Helmholtz association via its BioInterfaces program', '']]"
Low-cost fabrication of centimetre-scale periodic arrays of single plasmid DNA molecules,"['Kirkland, Brett', 'Wang, Zhibin', 'Zhang, Peipei', 'Takebayashi, Shin-ichiro', 'Lenhert, Steven', 'Gilbert, David M.', 'Guan, Jingjiao']",LAB ON A CHIP,13,17,2013,guan@eng.fsu.edu,"Florida State Univ, FAMU FSU Coll Engn, Dept Chem & Biomed Engn, 2525 Pottsdamer St, Tallahassee, FL 32310 USA.","['Biochemistry & Molecular Biology', 'Chemistry', 'Science & Technology - Other Topics']",[],"['CHEMICAL FORCE MICROSCOPY', 'SELF-ASSEMBLED MONOLAYERS', 'PEN LITHOGRAPHY', 'NANOARRAYS', 'SURFACES', 'FILMS']","[['Florida Department of Health New Investigator Grant', '1KN07'], ['National Institutes of Health grant', 'GM085354']]"
Advancements and challenges of patterning biomolecules with sub-50 nm features,"['Tran, Helen', 'Killops, Kato L.', 'Campos, Luis M.']",SOFT MATTER,9,29,2013,lcampos@columbia.edu,"Columbia Univ, Dept Chem, New York, NY 10027 USA.","['Chemistry', 'Materials Science', 'Physics', 'Polymer Science']",[],"['DIP-PEN NANOLITHOGRAPHY', 'BLOCK-COPOLYMER LITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'NANOMETER-SCALE', 'PROTEIN NANOPATTERNS', 'ARRAYS', 'DNA', 'NANOARRAYS', 'NANOSTRUCTURES', 'MOLECULE']","[['Department of the Army Basic Research Program', 'W911NH-12-1-0252'], ['Edgewood Chemical Biological Center', ''], ['Columbia University', ''], ['Department of Defense (DoD)', '']]"
Rolling particle lithography by soft polymer microparticles,"['Di Benedetto, Francesca', 'Fasano, Vito', 'Persano, Luana', 'Maruccio, Claudio', 'Mele, Elisa', 'Potente, Giovanni', 'Weitz, David A.', 'De Lorenzis, Laura', 'Pisignano, Dario']",SOFT MATTER,9,7,2013,dario.pisignano@unisalento.it,"Univ Salento, CNR, Ist Nanosci, Natl Nanotechnol Lab, Via Arnesano, I-73100 Lecce, Italy.","['Chemistry', 'Materials Science', 'Physics', 'Polymer Science']",[],"['ATOMIC-FORCE MICROSCOPY', 'MICROCONTACT', 'MICROFLUIDICS', 'TRANSPORT', 'CONTACT', 'STAMP']","[['Italian MIUR', 'RBFR107AKG']]"
From the bottom up: dimensional control and characterization in molecular monolayers,"['Claridge, Shelley A.', 'Liao, Wei-Ssu', 'Thomas, John C.', 'Zhao, Yuxi', 'Cao, Huan H.', 'Cheunkar, Sarawut', 'Serino, Andrew C.', 'Andrews, Anne M.', 'Weiss, Paul S.']",CHEMICAL SOCIETY REVIEWS,42,7,2013,psw@cnsi.ucla.edu,"Univ Calif Los Angeles, Calif NanoSyst Inst, Los Angeles, CA 90095 USA.",['Chemistry'],[],"['SELF-ASSEMBLED-MONOLAYERS', 'SCANNING-TUNNELING-MICROSCOPY', 'DIP-PEN NANOLITHOGRAPHY', 'EDGE-SPREADING LITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'CONTROLLED NANOSCALE ENVIRONMENTS', 'SUBSTRATE-MEDIATED INTERACTIONS', 'SURFACE-PLASMON RESONANCE', 'IV SEMICONDUCTOR SURFACES', 'SIZED PROTEIN-PATTERNS']","[['Department of Energy', 'DE-FG02-08ER46546\xa0\nDE-FG02-07ER15877'], ['National Science Foundation', 'CHE-1013042\xa0\nCHE-1124984'], ['Kavli Foundation', ''], ['NIH', '7F32GM0892202']]"
Parallel Dip-Pen Nanolithography using Spore- and Colloid-Terminated Cantilevers,"['Kramer, Marcus A.', 'Ivanisevic, Albena']",SMALL,8,24,DEC 21 2012,ivanisevic@ncsu.edu,"Joint Dept Biomed Engn NCSU UNC CH, Dept Mat Sci & Engn, 911 Partners Way, Raleigh, NC 27695 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['parallel dip-pen nanolithography', 'spores', 'colloids']","['TOP-DOWN', 'LITHOGRAPHY', 'POLYMERIZATION', 'TIP']",[]
"High-Resolution, Large-Area, Serial Fabrication of 3D Polymer Brush Structures by Parallel Dip-Pen Nanodisplacement Lithography","['Zhou, Xuechang', 'Liu, Zhilu', 'Xie, Zhuang', 'Liu, Xuqing', 'Zheng, Zijian']",SMALL,8,23,DEC 7 2012,tczzheng@inet.polyu.edu.hk,"Hong Kong Polytech Univ, Inst Text & Clothing, Nanotechnol Ctr, Hong Kong, Hong Kong, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['polymer brushes', 'three dimensional structures', 'scanning probe lithography', 'parallelization', 'SI-ATRP']","['CHEMICAL LITHOGRAPHY', 'AFM LITHOGRAPHY', 'THIN-FILMS', 'NANOLITHOGRAPHY', 'NANOSTRUCTURES', 'SURFACES', 'GRADIENTS', 'PROGRESS', 'ARRAYS']","[['Hong Kong Polytechnic University', 'A-PK09\xa0\nA-PK21'], ['Research Grant Council of Hong Kong', 'PolyU504111']]"
Patterns of molecular motors that guide and sort filaments,"['Rupp, Beat', 'Nedelec, Francois']",LAB ON A CHIP,12,22,NOV 21 2012,nedelec@embl.de,"European Mol Biol Lab, Cell Biol & Biophys Unit, D-69117 Heidelberg, Germany.","['Biochemistry & Molecular Biology', 'Chemistry', 'Science & Technology - Other Topics']",[],"['FLEXURAL RIGIDITY', 'ACTIN-FILAMENTS', 'ELECTRIC-FIELDS', 'MICROTUBULES', 'TRANSPORT', 'SURFACES', 'PROTEINS', 'ORGANIZATION', 'MOVEMENTS', 'KINESIN-1']","[['BioMS (Center for Modeling and Simulation in the Biosciences)', ''], ['Volkswagenstiftung', '']]"
Multifunctional cantilever-free scanning probe arrays coated with multilayer graphene,"['Shim, Wooyoung', 'Brown, Keith A.', 'Zhou, Xiaozhu', 'Rasin, Boris', 'Liao, Xing', 'Mirkin, Chad A.']",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,109,45,NOV 6 2012,chadnano@northwestern.edu,"Northwestern Univ, Dept Mat Sci & Engn, Evanston, IL 60208 USA.",['Science & Technology - Other Topics'],"['scanning probe microscopy', 'tip modification', 'energy delivery', 'tip wear', 'friction']","['SELF-ASSEMBLED MONOLAYERS', 'ATOMIC-FORCE MICROSCOPE', 'DIP-PEN NANOLITHOGRAPHY', 'NANOMETER-SCALE', 'NANOSCALE WEAR', 'LATERAL FORCE', 'THIN-FILMS', 'TIPS', 'FABRICATION', 'PARALLEL']","[['Defense Advanced Research Projects Agency/Microsystems Technology Office Award', 'N66001-08-1-2044'], ['Asian Office of Aerospace Research and Development Award', 'FA2386-10-1-4065'], ['Air Force Office of Scientific Research Awards', 'FA9550-12-1-0280\xa0\nFA9550-12-1-0141'], ['National Science Foundation', 'DMI-1152139\xa0\nDMB-1124131'], ['Department of Defense/Naval Postgraduate School/National Security Science and Engineering Faculty Fellowship', 'N00244-09-1-0012\xa0\nN00244-09-1-0071'], ['Chicago Biomedical Consortium', ''], ['Chicago Community Trust', ''], ['Centers of Cancer Nanotechnology Excellence initiative of the National Institutes of Health', 'U54 CA151880'], [""Northwestern University's International Institute for Nanotechnology"", '']]"
Direct-Write Patterning of Bacterial Cells by Dip-Pen Nanolithography,"['Kim, Jieun', 'Shin, Young-Hun', 'Yun, Seong-Hun', 'Choi, Dong-Sik', 'Nam, Ji-Hye', 'Kim, Sung Riong', 'Moon, Sung-Kwon', 'Chung, Bong Hyun', 'Lee, Jae-Hyuck', 'Kim, Jae-Ho', 'Kim, Ki-Young', 'Kim, Kyung-Min', 'Lim, Jung-Hyurk']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,134,40,OCT 10 2012,kmkim@ut.ac.kr; jhlim@ut.ac.kr,"Korea Natl Univ Transportat, Dept Polymer Sci & Technol, Chungju 380702, South Korea.",['Chemistry'],[],"['PROTEINS', 'OLIGONUCLEOTIDES', 'ORGANIZATION', 'LITHOGRAPHY', 'MICROARRAYS', 'ADHESION', 'POLYMERS', 'COLLAGEN', 'ARRAYS']","[['Basic Science Research Program through the National Research Foundation of Korea (NRF)', ''], ['Ministry of Education, Science, and Technology', '2010-0022073'], ['Korea National University of Transportation', '']]"
Simulations of Deposition of Dip-Pen Nanolithography and Annealing Characterizations of Patterns,"['Wu, Cheng-Da', 'Fang, Te-Hua', 'Huang, Yan-Jiun', 'Weng, Feng-Tsai']",JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE,9,10,Oct-12,UNDEFINED,"Natl Kaohsiung Univ Appl Sci, Dept Mech Engn, Kaohsiung 807, Taiwan.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Dip-Pen Nanolithography', 'Meniscus', 'Deposition Temperature', 'Annealing', 'Nanodot']","['SELF-ASSEMBLED MONOLAYERS', 'MOLECULAR-DYNAMICS ANALYSIS', 'SLIDING FRICTION', 'POLYMER', 'NANOSTRUCTURES', 'LITHOGRAPHY', 'SURFACES', 'MODEL', 'GOLD']","[['National Science Council of Taiwan', 'NSC-100-2628-E-151-003\xa0\nNSC-100-2221-E-151-018']]"
Research Progress of High-precision Patterns by Directly Inkjet Printing,"['Kuang, Minxuan', 'Wang, Jingxa', 'Wang, Libin', 'Song, Yanlin']",ACTA CHIMICA SINICA,70,18,SEP 28 2012,ylsong@iccas.ac.cn,"Chinese Acad Sci, Inst Chem, New Mat Lab, Beijing 100190, Peoples R China.",['Chemistry'],"['inkjet printing', 'patterning', 'high-precision', 'coffee ring']","['HIGH-RESOLUTION', 'CONTACT LINE', 'POLYMER', 'LITHOGRAPHY', 'DROPLETS', 'DROPS', 'TRANSISTORS', 'NANOSCALE', 'ARRAYS', 'TRACKS']","[['National Natural Science Foundation of China', '50973117\xa0\n21074139\xa0\n91127029\xa0\n51173190\xa0\n20904061\xa0\n50625312\xa0\nU0634004\xa0\n20721061'], ['973 Program', '2009CB930404\xa0\n2011CB932303\xa0\n2011CB808400']]"
Polymer Pen Lithography Using Dual-Elastomer Tip Arrays,"['Xie, Zhuang', 'Shen, Youde', 'Zhou, Xuechang', 'Yang, Yong', 'Tang, Qing', 'Miao, Qian', 'Su, Jing', 'Wu, Hongkai', 'Zheng, Zijian']",SMALL,8,17,SEP 10 2012,tczzheng@inet.polyu.edu.hk,"Hong Kong Polytech Univ, Nanotechnol Ctr, Inst Text & Clothing, Hong Kong, Hong Kong, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['scanning probe lithography', 'surface patterning', 'polymer pen lithography', 'dip-pen nanolithography', 'soft lithography']","['SOFT LITHOGRAPHY', 'FEATURE SIZE', 'NANOLITHOGRAPHY', 'PARALLEL', 'DIMENSIONS', 'SURFACES']","[['Hong Kong Polytechnic University', 'A-PK21'], ['Research Grant Council of Hong Kong', 'PolyU 5041/11P']]"
Nanometer-Scale Infrared Spectroscopy of Heterogeneous Polymer Nanostructures Fabricated by Tip-Based Nanofabrication,"['Felts, Jonathan R.', 'Kjoller, Kevin', 'Lo, Michael', 'Prater, Craig B.', 'King, William P.']",ACS NANO,6,9,Sep-12,wpk@illinois.edu,"Univ Illinois, Dept Mech Sci & Engn, Champaign, IL 61820 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']","['atomic force microscope', 'AFM', 'thermal dip-pen nanolithography', 'tDPN', 'AFM-IR', 'photothermal induced resonance', 'nanolithography', 'tip based nanofabrication', 'TBN']","['ATOMIC-FORCE MICROSCOPE', 'DIP-PEN NANOLITHOGRAPHY', 'THERMOCHEMICAL NANOLITHOGRAPHY', 'LITHOGRAPHY', 'RESOLUTION', 'ABSORPTION', 'IMPRINT']","[['AFOSR MURI', 'FA9550-08-1-0407'], ['DARPA TBN program', ''], ['Department of Energy Office of Science Graduate Fellowship Program (DOE SCGF)', ''], ['ORISE-ORAU', 'DE-AC05-06OR23100']]"
Printing colour at the optical diffraction limit,"['Kumar, Karthik', 'Duan, Huigao', 'Hegde, Ravi S.', 'Koh, Samuel C. W.', 'Wei, Jennifer N.', 'Yang, Joel K. W.']",NATURE NANOTECHNOLOGY,7,9,Sep-12,yangkwj@imre.a-star.edu.sg,"ASTAR, Inst Mat Res & Engn, 3 Res Link, Singapore 117602, Singapore.","['Science & Technology - Other Topics', 'Materials Science']",[],"['ENHANCED RAMAN-SCATTERING', 'BUTTERFLY WINGS', 'HOLE ARRAYS', 'LARGE-AREA', 'NANOSTRUCTURES', 'TRANSMISSION', 'LITHOGRAPHY', 'FILTERS']","[['Agency for Science, Technology and Research (A<SUP>star</SUP>STAR)', '0926030138'], ['SERC', '092154099']]"
"The application of nanopipettes to conducting polymer fabrication, imaging and electrochemical characterization","['Laslau, Cosmin;', 'Williams, David E.;', 'Travas-Sejdic, Jadranka']",PROGRESS IN POLYMER SCIENCE,37,9,Sep-12,j.travas-sejdic@auckland.ac.nz,"Univ Auckland, Polymer Elect Res Ctr, Private Bag 92019, Auckland 1142, New Zealand.",['Polymer Science'],"['Conducting', 'Polymers', 'Nanopipettes', 'Scanning', 'Microscopy', 'Electrochemical']","['SCANNING ION-CONDUCTANCE', 'DIP-PEN NANOLITHOGRAPHY', 'CARBON NANOTUBES', 'POLYANILINE NANOTUBES', 'LIVING CELLS', 'INDIVIDUAL MOLECULES', 'TUNNELING-MICROSCOPY', 'CONJUGATED POLYMER', 'OPTICAL MICROSCOPY', 'ACCESS RESISTANCE']","[['Education New Zealand', ''], ['University of Auckland', ''], ['Solander Program', ''], ['MacDiarmid Institute for Advanced Materials and Nanotechnology', '']]"
Implantation of nanomaterials and nanostructures on surface and their applications,"['Bai, Chunli', 'Liu, Minghua']",NANO TODAY,7,4,Aug-12,xwnie@cashq.ac.cn,"Chinese Acad Sci, CAS Key Lab Mol Nanostruct & Nanotechnol, Inst Chem, Beijing 100190, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']","['Nanomaterial', 'Nanostructure', 'Nanoparticle', 'Array of nanoparticle', 'Chiral surface', 'Nanolithograph']","['DIP-PEN NANOLITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'SCANNING-TUNNELING-MICROSCOPY', 'LANGMUIR-BLODGETT-FILMS', 'CONTROL CELL-ADHESION', 'CHIRAL SURFACES', 'PHYSICOCHEMICAL PROPERTIES', 'SUPERHYDROPHOBIC SURFACES', 'FIBRONECTIN CONFORMATION', 'SILVER NANOSTRUCTURES']",[]
Polymer Pen Lithography (PPL)-Induced Site-Specific Click Chemistry for the Formation of Functional Glycan Arrays,"['Bian, Shudan', 'He, Jiajun', 'Schesing, Kevin B.', 'Braunschweig, Adam B.']",SMALL,8,13,JUL 9 2012,adamb@nyu.edu,"NYU, Dept Chem, 100 Washington Sq E,Room 1001, New York, NY 10003 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['arrays', 'carbohydrates', 'dip-pen nanolithography', 'click chemistry']","['MICROARRAY FABRICATION', 'NANOLITHOGRAPHY', 'MECHANISMS', 'MONOLAYERS', 'BIOCHIPS', 'SURFACES', 'FEATURES', 'PLATFORM', 'FORCE', 'TOOLS']","[['New York University', ''], ['Air Force Office of Scientific Research', 'FA9550-11-1-0032'], ['National Science Foundation', 'CHE-01162222\xa0\nCHE-0234863']]"
Solution Processed Micro- and Nano-Bioarrays for Multiplexed Biosensing,"['Arrabito, Giuseppe', 'Pignataro, Bruno']",ANALYTICAL CHEMISTRY,84,13,JUL 3 2012,bruno.pignataro@unipa.it,"Univ Palermo, Dipartimento Chim S Cannizzaro, Vle Sci,Parco DOrleans 2,Ed 17, I-90128 Palermo, Italy.",['Chemistry'],[],"['DIP-PEN NANOLITHOGRAPHY', 'PROTEIN MICROARRAYS', 'NANOSTRUCTURES', 'LITHOGRAPHY', 'PATTERNS', 'PEPTIDE', 'ARRAY', 'TIP']","[['Italian MiUR', ''], ['University of Palermo', '']]"
Dopamine-Assisted Rapid Fabrication of Nanoscale Protein Arrays by Colloidal Lithography,"['Ogaki, Ryosuke', 'Bennetsen, Dines T.', 'Bald, Ilko', 'Foss, Morten']",LANGMUIR,28,23,JUN 12 2012,ryo@inano.au.dk,"Aarhus Univ, Interdisciplinary Nanosci Ctr iNANO, Fac Sci, DK-8000 Aarhus C, Denmark.","['Chemistry', 'Materials Science']",[],"['LARGE-SCALE FABRICATION', 'PEN LITHOGRAPHY', 'SURFACES', 'ADHESION']","[['Danish Agency for Science, Technology and Innovation (Innovation Consortium NANOBIONIC)', '']]"
Vapor Phase Polymerization of EDOT from Submicrometer Scale Oxidant Patterned by Dip-Pen Nanolithography,"[""O'Connell, Cathal D."", 'Higgins, Michael J.', 'Nakashima, Hiroshi', 'Moulton, Simon E.', 'Wallace, Gordon G.']",LANGMUIR,28,26,JUN 3 2012,gwallace@uow.edu.au,"Univ Wollongong, ARC Ctr Excellence Electromat Sci, Intelligent Polymer Res Inst, AIIM Facil, Innovat Campus, Wollongong, NSW 2522, Australia.","['Chemistry', 'Materials Science']",[],"['CONDUCTING POLYMERS', 'LITHOGRAPHY', 'INK']","[['Australian Research Council', '']]"
"Effects of tip-substrate gap, deposition temperature, holding time, and pull-off velocity on dip-pen lithography investigated using molecular dynamics simulation","['Wu, Cheng-Da', 'Fang, Te-Hua', 'Lin, Jen-Fin']",JOURNAL OF APPLIED PHYSICS,111,10,MAY 15 2012,nano112002@gmail.com; fang.tehua@msa.hinet.net; jflin@mail.ncku.edu.tw,"Natl Kaohsiung Univ Appl Sci, Dept Mech Engn, Kaohsiung 807, Taiwan.",['Physics'],[],"['SELF-ASSEMBLED MONOLAYERS', 'SLIDING FRICTION', 'ATOMIC-SCALE', 'NANOLITHOGRAPHY', 'FABRICATION', 'FORCE', 'SIZE']",[]
Nano-fabrication with a flexible array of nano-apertures,"['Hu, Huan', 'Yeom, Junghoon', 'Mensing, Glennys', 'Chen, Yaofeng', 'Shannon, Mark A.', 'King, William P.']",NANOTECHNOLOGY,23,17,MAY 4 2012,wpk@illinois.edu,"Univ Illinois, Dept Elect & Comp Engn, Urbana, IL 61801 USA.","['Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['PEN LITHOGRAPHY', 'SURFACES', 'LINEWIDTH', 'FEATURES']","[['NSF Center for Nano-Chemical Electro-Mechanical Manufacturing Systems', '']]"
Nanoelectromechanical contact switches,"['Loh, Owen Y.', 'Espinosa, Horacio D.']",NATURE NANOTECHNOLOGY,7,5,May-12,espinosa@northwestern.edu,"Northwestern Univ, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Science & Technology - Other Topics', 'Materials Science']",[],"['WALLED CARBON NANOTUBES', 'NANOWIRE BUILDING-BLOCKS', 'DIP-PEN NANOLITHOGRAPHY', 'ELECTROMECHANICAL RESONATORS', 'MULTIWALLED NANOTUBES', 'AC DIELECTROPHORESIS', 'INTEGRATED-CIRCUITS', 'NUMERICAL-ANALYSIS', 'NEMS DEVICES', 'GRAPHENE']","[['National Science Foundation', 'CMMI-0555734\xa0\nDMR-0907196'], ['Army Research Office', 'W911NF-08-1-0061'], ['Office of Naval Research', 'N00014-08-1-0792'], ['Northwestern University', '']]"
Anisotropic remastering for reducing feature sizes on UV nanoimprint lithography replica molds,"['Lausecker, E.', 'Grydlik, M.', 'Brehm, M.', 'Bergmair, I.', 'Muehlberger, M.', 'Fromherz, T.', 'Bauer, G.']",NANOTECHNOLOGY,23,16,APR 27 2012,elisabeth.lausecker@jku.at,"Johannes Kepler Univ Linz, Inst Semicond & Solid State Phys, A-4040 Linz, Austria.","['Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['IMPRINT LITHOGRAPHY', 'FABRICATION', 'RESOLUTION']","[['Austrian NANO Initiative (bmvit and FFG)', ''], ['IRON', 'SFB025-12'], ['GMe, Austria', '']]"
Parallel optical trap assisted nanopatterning on rough surfaces,"['Tsai, Y-C', 'Leitz, K-H', 'Fardel, R.', 'Otto, A.', 'Schmidt, M.', 'Arnold, C. B.']",NANOTECHNOLOGY,23,16,APR 27 2012,cbarnold@princeton.edu,"Princeton Univ, Dept Mech & Aerosp Engn, Princeton Inst Sci & Technol Mat, Princeton, NJ 08544 USA.","['Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIELECTRIC SPHERE', 'NANOLITHOGRAPHY', 'MICROSCOPY', 'POLYIMIDE', 'ABLATION', 'FORCES', 'LASERS']","[['NSF', 'CMMI-0928803'], ['AFOSR', 'FA9550-08-1-0094'], ['NSF MRSEC through the Princeton Center for Complex Materials', 'DMR-0819860'], ['DFG', ''], ['Erlangen Graduate School in Advanced Optical Technologies', '']]"
